time,open,high,low,close,volume
2007-01-11 00:00:00+00:00,93.01,94.28,92.82,94.0,10627
2007-01-12 00:00:00+00:00,94.04,94.33,93.74,94.28,8122
2007-01-15 00:00:00+00:00,94.44,94.68,94.18,94.45,6201
2007-01-16 00:00:00+00:00,94.46,94.67,94.15,94.31,8090
2007-01-17 00:00:00+00:00,94.32,94.95,94.32,94.91,7773
2007-01-18 00:00:00+00:00,94.92,95.79,94.87,95.73,10046
2007-01-19 00:00:00+00:00,95.75,95.87,95.3,95.74,7036
2007-01-22 00:00:00+00:00,95.69,96.17,95.61,95.8,6439
2007-01-23 00:00:00+00:00,95.81,96.47,95.78,96.4,7652
2007-01-24 00:00:00+00:00,96.47,96.47,94.17,94.6,12537
2007-01-25 00:00:00+00:00,94.61,94.65,93.62,93.72,11949
2007-01-26 00:00:00+00:00,93.73,94.17,93.67,93.99,8941
2007-01-29 00:00:00+00:00,93.98,94.53,93.89,94.09,7012
2007-01-30 00:00:00+00:00,94.07,94.32,93.64,93.93,8015
2007-01-31 00:00:00+00:00,93.92,94.03,93.35,93.83,10851
2007-02-01 00:00:00+00:00,93.86,93.88,93.17,93.48,10133
2007-02-02 00:00:00+00:00,93.51,93.9,93.16,93.83,8378
2007-02-05 00:00:00+00:00,93.81,93.82,93.22,93.31,7762
2007-02-06 00:00:00+00:00,93.32,93.63,93.08,93.33,7656
2007-02-07 00:00:00+00:00,93.32,94.03,93.22,93.96,6881
2007-02-08 00:00:00+00:00,94.01,94.72,93.66,94.64,7367
2007-02-09 00:00:00+00:00,94.65,94.81,94.18,94.47,7024
2007-02-12 00:00:00+00:00,94.85,94.85,93.93,94.02,7049
2007-02-13 00:00:00+00:00,94.03,94.52,93.7,94.42,8045
2007-02-14 00:00:00+00:00,94.44,94.88,94.31,94.61,9321
2007-02-15 00:00:00+00:00,94.62,94.62,93.43,93.44,10877
2007-02-16 00:00:00+00:00,93.46,93.99,93.42,93.98,7467
2007-02-19 00:00:00+00:00,93.9,94.23,93.79,94.1,5671
2007-02-20 00:00:00+00:00,94.06,94.58,93.99,94.39,6554
2007-02-21 00:00:00+00:00,94.37,95.77,94.17,95.61,9827
2007-02-22 00:00:00+00:00,95.65,95.97,95.35,95.88,7530
2007-02-23 00:00:00+00:00,95.89,95.94,95.65,95.79,6413
2007-02-26 00:00:00+00:00,95.81,95.9,95.4,95.79,5727
2007-02-27 00:00:00+00:00,95.8,95.86,92.6,93.08,11474
2007-02-28 00:00:00+00:00,93.06,93.62,92.75,93.35,12430
2007-03-01 00:00:00+00:00,93.4,93.55,91.75,92.23,12669
2007-03-02 00:00:00+00:00,92.22,92.57,91.2,91.35,11004
2007-03-05 00:00:00+00:00,91.26,91.26,88.53,88.56,15061
2007-03-06 00:00:00+00:00,88.52,90.46,88.51,90.43,11525
2007-03-07 00:00:00+00:00,90.42,90.86,89.91,89.99,10243
2007-03-08 00:00:00+00:00,90.0,91.29,89.62,91.16,10217
2007-03-09 00:00:00+00:00,91.13,92.42,91.03,92.29,9118
2007-03-12 00:00:00+00:00,92.42,92.73,91.57,92.42,8700
2007-03-13 00:00:00+00:00,92.43,92.61,90.52,90.6,11647
2007-03-14 00:00:00+00:00,90.62,92.39,90.44,92.29,12224
2007-03-15 00:00:00+00:00,92.28,92.88,91.88,92.45,10896
2007-03-16 00:00:00+00:00,92.44,93.24,92.29,92.86,10833
2007-03-19 00:00:00+00:00,92.33,94.33,92.28,94.15,11842
2007-03-20 00:00:00+00:00,94.14,94.43,93.61,94.17,11340
2007-03-21 00:00:00+00:00,94.16,95.09,93.91,94.89,8545
2007-03-22 00:00:00+00:00,94.9,95.38,94.52,95.19,9293
2007-03-23 00:00:00+00:00,95.18,95.31,94.63,95.08,8969
2007-03-26 00:00:00+00:00,94.91,95.67,94.69,95.64,8927
2007-03-27 00:00:00+00:00,95.65,95.78,95.14,95.17,9132
2007-03-28 00:00:00+00:00,95.16,95.31,93.79,94.16,8097
